UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Alejandro Salmeron G,@alexito1969com,2022-10-01T22:33:02.000Z,"Alejandro Salmeron G
@alexito1969com
·
Oct 1, 2022","Replying to 
@AlvaritoMorales
 @ElektraMx
 and 3 others",🐖 👌,,,,[],https://twitter.com/alexito1969com/status/1576339433242038275
𝕵𝖗𝖌,@polimatheia,2022-10-01T07:31:42.000Z,"𝕵𝖗𝖌
@polimatheia
·
Oct 1, 2022","Replying to 
@mauriciotabe
 @ClubRotarioCDMX
 and 
@wheelchairFDN",,,,,[],https://twitter.com/polimatheia/status/1576112603142950912
Pete Sanz,@pichi65,2022-10-01T23:27:17.000Z,"Pete Sanz
@pichi65
·
Oct 1, 2022","#GuacamayaLeaks Se filtran entre los 6 tb de información de la SEDENA, los componentes secretos de los tamales de chipilín:
330 g manteca de cerdo
250 g queso chiapaneco
2 kg harina de maíz
hojas chipillín
hojas de plátanos
4 jitomates
1 cebolla med
1 chile dulce
sal y pimienta",,,,,[],https://twitter.com/pichi65/status/1576353085160841216
pavel ceciliano,@pashacr,2022-10-01T22:57:56.000Z,"pavel ceciliano
@pashacr
·
Oct 1, 2022","Cerveza y puerco 
#chelita #changuichito #porcorosso #comiendito en Porco Rosso BBQ",🤤,,,,[],https://twitter.com/pashacr/status/1576345700945772546
Luis H. Sandoval,@luigisan1138,2022-10-01T19:08:49.000Z,"Luis H. Sandoval
@luigisan1138
·
Oct 1, 2022","Hace unos días decidí comenzar una nueva partida en Bloodborne, sin borrar la anterior. Me sorprendió lo rápido que avancé - aunque sigo manqueando puerco en algunas zonas - y que en una sesión de 2 horas aprox. me eché a 3 jefes. ",😎,,,5,[],https://twitter.com/luigisan1138/status/1576288038753226752
Ocho Tres Cinco,@ochotrescinco,2022-10-01T19:43:51.000Z,"Ocho Tres Cinco
@ochotrescinco
·
Oct 1, 2022","Deliciosa agüita de sapo  

Arepa frita con Pierna de cerdo y queso frito  

Estamos abiertos hasta las 10pm en Ocho Tres Cinco",🐸 🔥 🧀,,,,['https://pbs.twimg.com/card_img/1633611048799404032/TZah0DI8?format=jpg&name=240x240'],https://twitter.com/ochotrescinco/status/1576296857394987013
Chio Philippakis,@chiophilippakis,2022-10-02T20:42:07.000Z,"Chio Philippakis
@chiophilippakis
·
Oct 2, 2022",El mal del puerco,,,1,8,['https://pbs.twimg.com/media/FeF4jxUVQAERoaX?format=jpg&name=small'],https://twitter.com/chiophilippakis/status/1576673909100855296
N0bu,@n0buwashere,2022-10-02T22:08:56.000Z,"N0bu
@n0buwashere
·
Oct 2, 2022",Marincess deck... Si se puso bien cerdo el main deck xD,,,,4,['https://pbs.twimg.com/media/FeGMb1JXkAEu7_v?format=jpg&name=small'],https://twitter.com/n0buwashere/status/1576695756903194624
Ricardo Padilla,@richpadillac,2022-10-02T16:04:02.000Z,"Ricardo Padilla
@richpadillac
·
Oct 2, 2022",Tener 30 es sufrir mal del puerco después de desayunar.,,1,,,[],https://twitter.com/richpadillac/status/1576603925762887680
Pedro Francisco #Insurrecto y #patriota,@MDOPedro,2022-10-02T15:41:39.000Z,"Pedro Francisco #Insurrecto y #patriota
@MDOPedro
·
Oct 2, 2022","Replying to 
@LetyMaldo
 and 
@marolo6001",,,,2,[],https://twitter.com/MDOPedro/status/1576598291793338369
Cristina Valeriano,@Chris_mistyk,2022-10-02T21:49:04.000Z,"Cristina Valeriano
@Chris_mistyk
·
Oct 2, 2022","A mi no me dieron gato por liebre. Me dieron cerdo por res y ya empecé con la alergia 
Por eso casi no como carne y el día que sí. Traz ",😑 😐 😤,,,,[],https://twitter.com/Chris_mistyk/status/1576690754805637120
Kaleb Jiménez,@kalebjim98,2022-10-02T18:35:54.000Z,"Kaleb Jiménez
@kalebjim98
·
Oct 2, 2022","Se me podrá salir un pedo pero jamás un dijistes o haiga ""ser puerco pero nunca un naco mugroso""",,,,,[],https://twitter.com/kalebjim98/status/1576642143967268865
Carlos González El Samurái ®,@elsamurai,2022-10-02T19:56:37.000Z,"Carlos González El Samurái ®
@elsamurai
·
Oct 2, 2022","@Chedrauioficial
 Compramos en línea carne de cerdo con Chedraui y lo que nos llega es carne descompuesta, verde y con aroma a podrido. Supuestamente empacada y etiquetada hoy. Esto en #xalapa ¿De qué se trata? Chequen el color verde en la carne",,1,2,1,"['https://pbs.twimg.com/media/FeFuIeZXoAIlcQC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeFuI-XWAAMk5ye?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FeFuJkqWYAU4IPH?format=jpg&name=360x360']",https://twitter.com/elsamurai/status/1576662458106023937
Joel Campa,@Bikesuk10,2022-10-03T02:35:12.000Z,"Joel Campa
@Bikesuk10
·
Oct 2, 2022","Replying to 
@luisghernan
 @damaso_neom
 and 
@penileyramirez",,,,,['https://pbs.twimg.com/media/FeHJYReVsAASX72?format=jpg&name=small'],https://twitter.com/Bikesuk10/status/1576762765032583168
adhor,@adhor45,2022-10-03T15:54:46.000Z,"adhor
@adhor45
·
Oct 3, 2022","Replying to 
@AleLadyBird",😅 😝,1,,,[],https://twitter.com/adhor45/status/1576963981108948992
Inocencio Madrazo,@InocencioMadra1,2022-10-03T22:24:45.000Z,"Inocencio Madrazo
@InocencioMadra1
·
Oct 3, 2022","Replying to 
@OctavioMaciasB1
 @_VicenteSerrano
 and 2 others",,,,,[],https://twitter.com/InocencioMadra1/status/1577062125628846080
evelynch,@everamirez25,2022-10-03T02:19:24.000Z,"evelynch
@everamirez25
·
Oct 2, 2022",Fui al súper y compré salmón pero tenía una etiqueta de carne de puerco adivinen quien pago 36 pesos por dos pedazos de salmón de 200 pesos? Jajajaja empezando al 100 octubre wuuuuu,,,,10,[],https://twitter.com/everamirez25/status/1576758786710466560
JuanSinMiedo,@JuanSin46744115,2022-10-03T01:22:41.000Z,"JuanSinMiedo
@JuanSin46744115
·
Oct 2, 2022","Replying to 
@_VicenteSerrano
 and 
@denisedresser",,,,11,[],https://twitter.com/JuanSin46744115/status/1576744513355538434
