Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@El_Universal_Mx Y cuando el cinturón ya no tenga más oyitos que Ara?🤔,Tue Apr 21 20:37:14 +0000 2020,"Azcapotzalco, Distrito Federal",-99.221136,19.456367,-99.221136,19.5152,-99.143116,19.5152,-99.143116,19.456367
Estaban acostumbrados a que se les rescataba con dinero del pais. El pueblo apretandose el cinturon y ellos gozando… https://t.co/Wk0YDYmnL1,Tue Apr 21 22:41:13 +0000 2020,"Juárez, Chihuahua",-106.950638,31.120681,-106.950638,31.783867,-106.185378,31.783867,-106.185378,31.120681
Prepárense para festejos de TD con el cinturón,Tue Apr 21 23:47:55 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
"20:03 Tome en cuenta, llueve en Av. Insurgentes y Av. Chapultepec, en todo momento utilice el cinturón de seguridad. https://t.co/vEj3CQL2rG",Wed Apr 22 01:03:18 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
"@IrashemitaT @Wayne96814002 @EnriqueRG36 Mi esposa siempre me revisa los zapatos y el cinturón,
Dice que un hombre… https://t.co/3ApVHhHImH",Wed Apr 22 01:52:18 +0000 2020,"Chapala, Jalisco",-103.423457,20.148268,-103.423457,20.408736,-103.027402,20.408736,-103.027402,20.148268
Ahora tengo usar cinturón aún que no quiera.,Wed Apr 22 20:00:14 +0000 2020,"Temapache, Veracruz de Ignacio de la Llave",-97.92906,20.788376,-97.92906,21.199073,-97.499242,21.199073,-97.499242,20.788376
Increíble que nadie podía ayudarlo. Por eso siempre cargo una herramienta para quebrar vidrios y cortar cinturones… https://t.co/HzR2MRW27t,Wed Apr 22 20:28:32 +0000 2020,"Guaymas, Sonora",-111.391696,27.133812,-111.391696,28.633587,-110.052958,28.633587,-110.052958,27.133812
"Resulta que en este año hubo un ""cinturón de paz"" donde se encontraba puro personal administrativo , esto con el fi… https://t.co/rd1Qo5bUGU",Wed Apr 22 21:48:24 +0000 2020,"Iztapalapa, Distrito Federal",-99.140238,19.284692,-99.140238,19.400885,-98.960684,19.400885,-98.960684,19.284692
¿Que les hace creer que su cinturón Gucci de $400 es original? 🤨,Thu Apr 23 04:47:21 +0000 2020,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
¡Favor de abrochar su cinturón de seguridad! 👨🏻‍✈️🇲🇽,Thu Apr 23 15:36:21 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
